Date,Open,High,Low,Close,Adj Close,Volume
30-03-2021,120.110001,120.400002,118.860001,119.900002,119.343437,85671900
31-03-2021,121.650002,123.519997,121.150002,122.150002,121.583,118323800
01-04-2021,123.660004,124.18,122.489998,123,122.429047,75089100
05-04-2021,123.870003,126.160004,123.07,125.900002,125.315598,88651200
06-04-2021,126.5,127.129997,125.650002,126.209999,125.624153,80171300
07-04-2021,125.830002,127.919998,125.139999,127.900002,127.306313,83466700
08-04-2021,128.949997,130.389999,128.520004,130.360001,129.754883,88844600
09-04-2021,129.800003,133.039993,129.470001,133,132.382614,106686700
12-04-2021,132.520004,132.850006,130.630005,131.240005,130.630814,91420000
13-04-2021,132.440002,134.660004,131.929993,134.429993,133.806,91266500
14-04-2021,134.940002,135,131.660004,132.029999,131.41713,87222800
15-04-2021,133.820007,135,133.639999,134.5,133.875671,89347100
16-04-2021,134.300003,134.669998,133.279999,134.160004,133.537262,84922400
19-04-2021,133.509995,135.470001,133.339996,134.839996,134.214096,94264200
20-04-2021,135.020004,135.529999,131.809998,133.110001,132.492126,94812300
21-04-2021,132.360001,133.75,131.300003,133.5,132.88031,68847100
22-04-2021,133.039993,134.149994,131.410004,131.940002,131.32756,84566500
23-04-2021,132.160004,135.119995,132.160004,134.320007,133.696503,78657500
26-04-2021,134.830002,135.059998,133.559998,134.720001,134.09465,66905100
27-04-2021,135.009995,135.410004,134.110001,134.389999,133.76619,66015800
28-04-2021,134.309998,135.020004,133.080002,133.580002,132.959946,107760100
29-04-2021,136.470001,137.070007,132.449997,133.479996,132.860397,151101000
30-04-2021,131.779999,133.559998,131.070007,131.460007,130.849792,109839500
03-05-2021,132.039993,134.070007,131.830002,132.539993,131.924744,75135100
04-05-2021,131.190002,131.490005,126.699997,127.849998,127.256538,137564700
05-05-2021,129.199997,130.449997,127.970001,128.100006,127.505386,84000900
06-05-2021,127.889999,129.75,127.129997,129.740005,129.137772,78128300
07-05-2021,130.850006,131.259995,129.479996,130.210007,129.825729,78973300
10-05-2021,129.410004,129.539993,126.809998,126.849998,126.475647,88071200
11-05-2021,123.5,126.269997,122.769997,125.910004,125.538422,126142800
12-05-2021,123.400002,124.639999,122.25,122.769997,122.407684,112172300
13-05-2021,124.580002,126.150002,124.260002,124.970001,124.601196,105861300
14-05-2021,126.25,127.889999,125.849998,127.449997,127.073868,81918000
17-05-2021,126.82,126.93,125.169998,126.269997,125.897346,74244600
18-05-2021,126.559998,126.989998,124.779999,124.849998,124.481544,63342900
19-05-2021,123.160004,124.919998,122.860001,124.690002,124.322021,92612000
20-05-2021,125.230003,127.720001,125.099998,127.309998,126.934288,76857100
21-05-2021,127.82,128,125.209999,125.43,125.059837,79295400
24-05-2021,126.010002,127.940002,125.940002,127.099998,126.724907,63092900
25-05-2021,127.82,128.320007,126.32,126.900002,126.525497,72009500
26-05-2021,126.959999,127.389999,126.419998,126.849998,126.475647,56575900
27-05-2021,126.440002,127.639999,125.080002,125.279999,124.910278,94625600
28-05-2021,125.57,125.800003,124.550003,124.610001,124.242256,71311100
01-06-2021,125.080002,125.349998,123.940002,124.279999,123.913231,67637100
02-06-2021,124.279999,125.239998,124.050003,125.059998,124.690926,59278900
03-06-2021,124.68,124.849998,123.129997,123.540001,123.175415,76229200
04-06-2021,124.07,126.160004,123.849998,125.889999,125.518478,75169300
07-06-2021,126.169998,126.32,124.830002,125.900002,125.52845,71057600
08-06-2021,126.599998,128.460007,126.209999,126.739998,126.365967,74403800
09-06-2021,127.209999,127.75,126.519997,127.129997,126.754814,56877900
10-06-2021,127.019997,128.190002,125.940002,126.110001,125.737831,71186400
11-06-2021,126.529999,127.440002,126.099998,127.349998,126.974167,53522400
14-06-2021,127.82,130.539993,127.07,130.479996,130.094925,96906500
15-06-2021,129.940002,130.600006,129.389999,129.639999,129.257401,62746300
16-06-2021,130.369995,130.889999,128.460007,130.149994,129.7659,91815000
17-06-2021,129.800003,132.550003,129.649994,131.789993,131.401062,96721700
18-06-2021,130.710007,131.509995,130.240005,130.460007,130.074997,108953300
21-06-2021,130.300003,132.410004,129.210007,132.300003,131.909561,79663300
22-06-2021,132.130005,134.080002,131.619995,133.979996,133.584595,74783600
23-06-2021,133.770004,134.320007,133.229996,133.699997,133.305435,60214200
24-06-2021,134.449997,134.639999,132.929993,133.410004,133.016281,68711000
25-06-2021,133.460007,133.889999,132.809998,133.110001,132.717178,70783700
28-06-2021,133.410004,135.25,133.350006,134.779999,134.382233,62111300
29-06-2021,134.800003,136.490005,134.350006,136.330002,135.927658,64556100
30-06-2021,136.169998,137.410004,135.869995,136.960007,136.555817,63261400
01-07-2021,136.600006,137.330002,135.759995,137.270004,136.864899,52485800
02-07-2021,137.899994,140,137.75,139.960007,139.546967,78852600
06-07-2021,140.070007,143.149994,140.070007,142.020004,141.600876,108181800
07-07-2021,143.539993,144.889999,142.660004,144.570007,144.143356,104911600
08-07-2021,141.580002,144.059998,140.669998,143.240005,142.817276,105575500
09-07-2021,142.75,145.649994,142.649994,145.110001,144.681763,99890800
12-07-2021,146.210007,146.320007,144,144.5,144.073547,76299700
13-07-2021,144.029999,147.460007,143.630005,145.639999,145.21019,100827100
14-07-2021,148.100006,149.570007,147.679993,149.149994,148.709824,127050800
15-07-2021,149.240005,150,147.089996,148.479996,148.041809,106820300
16-07-2021,148.460007,149.759995,145.880005,146.389999,145.957977,93251400
19-07-2021,143.75,144.070007,141.669998,142.449997,142.029602,121434600
20-07-2021,143.460007,147.100006,142.960007,146.149994,145.718689,96350000
